Cumulative emissions of NOx from lightning
At top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
Lee T. Murray, 20th April 2009
Taken from Table 2, Ott et al., submitted to JGR, 2009


------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       3.3429       0.9571       7.4000       4.2143
       3.3583       0.9603       7.4324       4.2338
       3.3737       0.9635       7.4648       4.2533
       3.3891       0.9667       7.4972       4.2728
       3.4045       0.9699       7.5295       4.2923
       3.4199       0.9731       7.5619       4.3118
       3.4353       0.9763       7.5943       4.3313
       3.4507       0.9795       7.6267       4.3508
       3.4661       0.9827       7.6591       4.3703
       3.4816       0.9858       7.6915       4.3898
       3.4970       0.9890       7.7239       4.4093
       3.5124       0.9922       7.7562       4.4289
       3.5278       0.9954       7.7886       4.4484
       3.5432       0.9986       7.8210       4.4679
       3.5586       1.0018       7.8534       4.4874
       3.5740       1.0050       7.8858       4.5069
       3.5894       1.0082       7.9182       4.5264
       3.6048       1.0113       7.9505       4.5459
       3.6203       1.0145       7.9829       4.5654
       3.6357       1.0177       8.0153       4.5849
       3.6511       1.0209       8.0477       4.6044
       3.6665       1.0241       8.0801       4.6239
       3.6819       1.0273       8.1125       4.6434
       3.6973       1.0305       8.1449       4.6629
       3.7127       1.0337       8.1772       4.6824
       3.7281       1.0369       8.2096       4.7019
       3.7435       1.0400       8.2420       4.7214
       3.7590       1.0432       8.2744       4.7410
       3.7744       1.0464       8.3068       4.7605
       3.7898       1.0496       8.3392       4.7800
       3.8052       1.0528       8.3716       4.7995
       3.8206       1.0560       8.4039       4.8190
       3.8360       1.0592       8.4363       4.8385
       3.8514       1.0624       8.4687       4.8580
       3.8668       1.0656       8.5011       4.8775
       3.8822       1.0687       8.5335       4.8970
       3.8977       1.0719       8.5659       4.9165
       3.9131       1.0751       8.5982       4.9360
       3.9285       1.0783       8.6306       4.9555
       3.9439       1.0815       8.6630       4.9750
       3.9593       1.0847       8.6954       4.9945
       3.9747       1.0879       8.7278       5.0140
       3.9901       1.0911       8.7602       5.0335
       4.0055       1.0942       8.7926       5.0530
       4.0209       1.0974       8.8249       5.0726
       4.0364       1.1006       8.8573       5.0921
       4.0518       1.1038       8.8897       5.1116
       4.0672       1.1070       8.9221       5.1311
       4.0826       1.1102       8.9545       5.1506
       4.0980       1.1134       8.9869       5.1701
       4.1134       1.1166       9.0193       5.1896
       4.1288       1.1198       9.0516       5.2091
       4.1442       1.1229       9.0840       5.2286
       4.1596       1.1261       9.1164       5.2481
       4.1751       1.1293       9.1488       5.2676
       4.1905       1.1325       9.1812       5.2871
       4.2059       1.1357       9.2136       5.3066
       4.2213       1.1389       9.2460       5.3261
       4.2367       1.1421       9.2783       5.3456
       4.2521       1.1453       9.3107       5.3651
       4.2675       1.1485       9.3431       5.3847
       4.2829       1.1516       9.3755       5.4042
       4.2983       1.1548       9.4079       5.4237
       4.3138       1.1580       9.4403       5.4432
       4.3292       1.1612       9.4726       5.4627
       4.3446       1.1644       9.5050       5.4822
       4.3600       1.1676       9.5374       5.5017
       4.3754       1.1708       9.5698       5.5212
       4.3908       1.1740       9.6022       5.5407
       4.4062       1.1771       9.6346       5.5602
       4.4216       1.1803       9.6670       5.5797
       4.4370       1.1835       9.6993       5.5992
       4.4525       1.1867       9.7317       5.6187
       4.4679       1.1899       9.7641       5.6382
       4.4833       1.1931       9.7965       5.6577
       4.4987       1.1963       9.8289       5.6772
       4.5141       1.1995       9.8613       5.6967
       4.5295       1.2027       9.8937       5.7163
       4.5449       1.2058       9.9260       5.7358
       4.5603       1.2090       9.9584       5.7553
       4.5757       1.2122       9.9908       5.7748
       4.5912       1.2154      10.0232       5.7943
       4.6066       1.2186      10.0556       5.8138
       4.6220       1.2218      10.0880       5.8333
       4.6374       1.2250      10.1204       5.8528
       4.6528       1.2282      10.1527       5.8723
       4.6682       1.2314      10.1851       5.8918
       4.6836       1.2345      10.2175       5.9113
       4.6990       1.2377      10.2499       5.9308
       4.7144       1.2409      10.2823       5.9503
       4.7299       1.2441      10.3147       5.9698
       4.7453       1.2473      10.3470       5.9893
       4.7607       1.2505      10.3794       6.0088
       4.7761       1.2537      10.4118       6.0284
       4.7915       1.2569      10.4442       6.0479
       4.8069       1.2601      10.4766       6.0674
       4.8223       1.2632      10.5090       6.0869
       4.8377       1.2664      10.5414       6.1064
       4.8531       1.2696      10.5737       6.1259
       4.8686       1.2728      10.6061       6.1454
       4.8840       1.2760      10.6385       6.1649
       4.8994       1.2792      10.6709       6.1844
       4.9148       1.2824      10.7033       6.2039
       4.9302       1.2856      10.7357       6.2234
       4.9456       1.2887      10.7681       6.2429
       4.9610       1.2919      10.8004       6.2624
       4.9764       1.2951      10.8328       6.2819
       4.9918       1.2983      10.8652       6.3014
       5.0108       1.3035      10.8976       6.3209
       5.0336       1.3109      10.9300       6.3405
       5.0565       1.3184      10.9624       6.3600
       5.0793       1.3258      10.9947       6.3795
       5.1022       1.3333      11.0271       6.3990
       5.1250       1.3407      11.0595       6.4185
       5.1479       1.3481      11.0919       6.4380
       5.1707       1.3556      11.1243       6.4575
       5.1936       1.3630      11.1567       6.4770
       5.2164       1.3705      11.1891       6.4965
       5.2393       1.3779      11.2214       6.5160
       5.2621       1.3853      11.2538       6.5355
       5.2850       1.3928      11.2862       6.5550
       5.3078       1.4002      11.3186       6.5745
       5.3307       1.4077      11.3510       6.5940
       5.3535       1.4151      11.3834       6.6135
       5.3764       1.4225      11.4158       6.6330
       5.3992       1.4300      11.4481       6.6525
       5.4221       1.4374      11.4805       6.6721
       5.4449       1.4449      11.5129       6.6916
       5.4678       1.4523      11.5453       6.7111
       5.4906       1.4597      11.5777       6.7306
       5.5135       1.4672      11.6101       6.7501
       5.5363       1.4746      11.6425       6.7696
       5.5592       1.4821      11.6748       6.7891
       5.5820       1.4895      11.7072       6.8086
       5.6049       1.4969      11.7396       6.8281
       5.6277       1.5044      11.7720       6.8476
       5.6506       1.5118      11.8044       6.8671
       5.6734       1.5193      11.8368       6.8866
       5.6963       1.5267      11.8691       6.9061
       5.7191       1.5341      11.9015       6.9256
       5.7420       1.5416      11.9339       6.9451
       5.7648       1.5490      11.9663       6.9646
       5.7877       1.5565      11.9987       6.9842
       5.8105       1.5639      12.0311       7.0054
       5.8334       1.5713      12.0635       7.0344
       5.8562       1.5788      12.0958       7.0635
       5.8791       1.5862      12.1282       7.0925
       5.9019       1.5937      12.1606       7.1215
       5.9248       1.6011      12.1930       7.1505
       5.9476       1.6085      12.2254       7.1795
       5.9705       1.6160      12.2578       7.2085
       5.9933       1.6234      12.2902       7.2375
       6.0162       1.6309      12.3225       7.2665
       6.0390       1.6383      12.3549       7.2955
       6.0619       1.6457      12.3873       7.3245
       6.0847       1.6532      12.4197       7.3535
       6.1076       1.6606      12.4521       7.3826
       6.1304       1.6681      12.4845       7.4116
       6.1533       1.6755      12.5168       7.4406
